"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProtID","GeneID"
5.88720543904258,23.9067225586134,8.89073405626258,1.12675364720354e-06,0.00121052705495487,5.36692145989103,"Q3U1T3;Q3U1T3-2","Brms1l"
9.06135219704997,29.4104946009575,8.87835039378669,1.14362499287187e-06,0.00121052705495487,5.35536923798071,"Q7TRJ6","Olfr118"
-4.6889291691977,23.7040911314585,-7.60952041417237,5.72351079199752e-06,0.00403889078221958,4.06257358459015,"Q8CDA1;Q8CDA1-2","Inpp5f"
-1.84714476856089,27.1076674850274,-7.28934773555288,8.84887923222261e-06,0.00468326933365382,3.69979764507485,"Q8K019-2;Q8K019;F8WI22;A0A087WQA0;Q8K019-3;A0A087WRN1","Bclaf1"
-1.00370406949657,33.1560599508901,-6.99402496925,1.33763165653136e-05,0.00566353243375379,3.35114199045375,"Q61937;Q9DAY9;Q5SQB0;Q5SQB5","Npm1"
-6.52681068882953,21.7400371172308,-6.81399335468296,1.73025036567204e-05,0.00610490004021286,3.13181237997494,"Q810V0","Mphosph10"
4.10297803894744,20.067849872556,6.42172251523766,3.07660483912449e-05,0.00824424395594698,2.63566113282391,"D3YU17;Q8VCM8","Ncln"
-4.17824081575654,20.6956458919582,-6.41332614707405,3.11544410238903e-05,0.00824424395594698,2.62476370967881,"G3X9A3;E9Q3R9;E9Q444","Zbtb21"
-4.57677144590536,23.2777827992646,-6.15642510706793,4.59447840558756e-05,0.0108072342051432,2.28563930872541,"E9PUR6;P06537-5;P06537-3;P06537;E9PYV1;P06537-4;P06537-2;E9Q310","Nr3c1"
-5.00050783395479,23.4942757492302,-5.93103006416697,6.50899947728786e-05,0.0137795518934184,1.97894739842998,"Q9JK92","Hspb8"
-4.68946082516017,23.1155278693352,-5.54921240433945,0.000119346690933638,0.022037719279878,1.43974942405009,"A0A5F8MPZ2;Q5UE59;E9Q7C9;Q7TNF4;Q8CD76;O88447","Klc1"
-4.16445218512857,21.3229893366429,-5.52098723712594,0.000124918578818392,0.022037719279878,1.39890893598009,"Q6R891;Q6R891-2","Ppp1r9b"
-3.25348098011928,20.0526404175953,-5.32025960276407,0.000173363727793771,0.0282316162876471,1.10459342660712,"P60330","Espl1"
-4.94413472699352,21.0602369018045,-5.11013438202736,0.000245796649056467,0.0337903455359578,0.789295295494815,"E9Q6D8;Q91X70;Q8BRY4","C6"
-0.742468683670815,30.667154880798,-5.10676432244181,0.000247189132344209,0.0337903455359578,0.784179136929379,"A0A2I3BPY7;Q9EP71","Rai14"
-4.40671308050526,22.9422235961185,-5.0873288747138,0.000255382866592029,0.0337903455359578,0.754637564208738,"B7ZWL1;A0A1D5RMJ8;Q6ZQ08-2;Q6ZQ08;Q6ZQ08-4;A0A1D5RMD8","Cnot1"
-4.54514467257421,24.4512919955956,-4.93258231938839,0.000331710322848245,0.0392649604711707,0.517241284518104,"Q6P8I4;Q3TM89;F8WI88;D3YWA4","Pcnp"
-4.48565858673484,20.4990197620092,-4.8988093427701,0.000351344843279301,0.0392649604711707,0.464919854373655,"A0A0A0MQH5","Macf1"
-2.00984620552278,25.743220637738,-4.87162759858561,0.000368029655475274,0.0392649604711707,0.422678442343329,"Q64511","Top2b"
-3.72469802699101,24.5271009096028,-4.86444284029005,0.000372576932429846,0.0392649604711707,0.411493602887031,"B1ARD6;A0A5H1ZRL4","Slfn9"
6.45288149132825,24.8084650938086,4.8384926342441,0.000389496537503346,0.0392649604711707,0.371028221472816,"A0A0R4J0E4;Q7TQK1-2;Q7TQK1","Ints7"
-1.33632174392639,28.0150855570583,-4.71917025910097,0.000478292925386988,0.0443279816833393,0.183616841553567,"Q569Z6;Q8BZN7","Thrap3"
2.73836127121665,24.4667840346667,4.7151877334688,0.000481598289426927,0.0443279816833393,0.177324057077072,"E9PYT0;P97393","Arhgap5"
3.64907283721723,20.4936407128727,4.66090531374756,0.000529105857034161,0.0455164770911519,0.0913131837605485,"E9PVS0;P19182","Ifrd1"
-0.519608373685621,32.9451205821421,-4.65183259648456,0.000537511538629569,0.0455164770911519,0.0768941763786781,"P09405","Ncl"
-0.736766290654835,29.4682251080997,-4.58986179563469,0.000598780520537506,0.0487545523837654,-0.0219213620269185,"A0A0R4J0M9;Q8CDG3;Q8CDG3-2","Vcpip1"
4.18399997238976,22.0463332449326,4.54994398416641,0.000642064008132802,0.0490996758291868,-0.0858711177489413,"Q499X9","Mars2"
-5.45770678636557,22.7451532051979,-4.54345252926796,0.000649405254235819,0.0490996758291868,-0.0962925375348211,"Q9DBS1","Tmem43"
3.82716873509424,21.0336719069861,4.51001354682588,0.000688630996737877,0.050270062761865,-0.150071766593511,"P52483;B2FDH7;B2FDH0","Ube2e3"
