"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProtID","GeneID"
2.48132528943126,32.1773778446864,17.9584672445213,3.93449665942487e-10,8.32932942800244e-07,10.4984570424442,"P27546","Map4"
2.42144624045434,30.1922832876921,13.6116462127105,9.8897500800549e-09,1.04683004597381e-05,8.76082889757224,"Q6A065;H7BX26","Cep170"
-7.8312196872051,23.9067225586134,-11.8265435606119,4.89673863576139e-08,3.45546523063562e-05,7.7328292298446,"Q3U1T3;Q3U1T3-2","Brms1l"
2.34774620969601,29.6754923942972,10.8416741353484,1.29603163428814e-07,5.52145443298785e-05,7.05646508349352,"F7ACR9;F6Q750","Macf1"
-11.0589858154326,29.4104946009575,-10.8356400826461,1.30407520854696e-07,5.52145443298785e-05,7.0520477765077,"Q7TRJ6","Olfr118"
4.74573465698816,26.786254147261,10.4481126929028,1.95212659743835e-07,6.88775334462831e-05,6.76089815544914,"Q3V1H1","Ckap2"
8.19715588656612,23.0805003675804,10.2673173743729,2.36629470756679e-07,7.15635127988413e-05,6.61990164648021,"Q9Z0H8-2;Q9Z0H8","Clip2"
1.31424401282714,31.0024748201903,9.89451539429546,3.54967528979724e-07,9.37378388629151e-05,6.31830870980653,"Q91W50;Q8JZN2;A0A0G2JF72","Csde1"
1.67024576763962,30.5308417457388,9.79016063813809,3.98507581372809e-07,9.37378388629151e-05,6.23118347453238,"Q7TPR4","Actn1"
6.8636849836392,24.4457490487326,9.11343134768068,8.64766951392239e-07,0.000183071163609737,5.63586729431114,"A0A087WQF1;E9QKH0;E9Q6L0;A0A087WQ95;A0A087WRE8;E9QNY9;A0A087WP42;A0A087WRK0;A0A087WNW8;Q80TV8;A0A087WS18;J3QP81;A0A087WQ31;Q80TV8-2;A0A0A6YXZ1","Clasp1"
1.51563418270296,29.9579640095135,8.78704267961036,1.27669045801384e-06,0.00024570488178321,5.32896635944554,"P97855","G3bp1"
-1.07986688949985,34.1444132978155,-8.37465829032338,2.12176941446922e-06,0.000369766886396285,4.92157800393086,"F7DBB3;Q3URZ6","Ahnak2"
-0.771765206369352,37.6530270541704,-8.27113814967298,2.41726534554856e-06,0.000369766886396285,4.81574144012427,"E9Q616","Ahnak"
6.23200088340655,21.3229893366429,8.26202242444113,2.44531715141615e-06,0.000369766886396285,4.80635152326418,"Q6R891;Q6R891-2","Ppp1r9b"
3.35345956227964,26.883121790922,8.20650751448185,2.62384235698284e-06,0.000370311617982178,4.74891966831692,"Q922J3;Q922J3-2;D3Z2Z1;F8WIA1;D3Z3M7;F6RCU2;Q8C0S5","Clip1"
5.06642329744501,24.0807627142488,7.749068634419,4.75193823858003e-06,0.00062874082819212,4.25916913917858,"Q8R080","Gtse1"
1.08568018078776,33.1560599508901,7.56525207360973,6.07439287202121e-06,0.00072642590387014,4.05383534179184,"Q61937;Q9DAY9;Q5SQB0;Q5SQB5","Npm1"
-1.17555963919359,30.6759016654606,-7.55288012839831,6.17650744906118e-06,0.00072642590387014,4.03983494074158,"G3X922;D4AFX7","Dnajc13"
-0.817512963020988,31.2435847679789,-7.46357915370767,6.97013075825135e-06,0.000744591306482039,3.93809839020756,"Q9D0I9","Rars"
0.832925522212307,32.9451205821421,7.45682766270315,7.03440062807783e-06,0.000744591306482039,3.93035786460776,"P09405","Ncl"
8.24283229706603,23.4613643318609,7.32180984326459,8.4616226798631e-06,0.000795889166100059,3.77410695654012,"A0A0R4J1L9;Q5HZI1;A0A0R4J147;Q5HZI1-4;A0A0R4J0N9;Q5HZI1-2;Q5HZI1-3","Mtus1"
4.12246810840381,24.7314607836435,7.31168830529977,8.58039297765999e-06,0.000795889166100059,3.76228149030134,"Q640M1","Utp14a"
6.42009058781589,22.7058677702325,7.27674238274761,9.00430639519414e-06,0.000795889166100059,3.72133149044802,"D6RII3;Q05BC3-2;Q05BC3;D3Z4J9;Q05BC3-3","Eml1"
-1.29170303914414,29.8089689368265,-7.27525523562883,9.02283419291517e-06,0.000795889166100059,3.71958466494171,"Q8BML9;D3Z158","Qars"
2.06186604248681,26.7571354893251,7.01999803995972,1.2893218021964e-05,0.00109179770209991,3.41466141650995,"Q61166","Mapre1"
3.03131448920812,26.6457021723893,6.94137447334684,1.44157035870556e-05,0.0011737709420691,3.31867720407216,"H3BJX8;Q60875;Q60875-4;Q60875-5;H3BKH9;H3BJ40;H3BJ45;H3BJU7","Arhgef2"
-1.40682224411107,28.8000152880132,-6.90700242271823,1.51403668755285e-05,0.00118711691390718,3.27640690759956,"B1AUX2;Q61191","Hcfc1"
2.09923738155845,27.7528051031323,6.84122158270973,1.66374548168068e-05,0.00125791042311357,3.19498419917826,"Q7TSC1;G3UX48","Prrc2a"
0.917632300622962,29.7723722350506,6.77794991704572,1.82266469056991e-05,0.00126417337437636,3.11601200955315,"O54724","Ptrf"
-4.30533811861724,20.7307216100469,-6.76524733262868,1.85647220712671e-05,0.00126417337437636,3.10007959411634,"E9QJS0;G5E8U8;G5E8U5;Q80ZK0","Mrps10"
3.22231189184508,25.8681817164983,6.75441965926581,1.88581591751774e-05,0.00126417337437636,3.08647824070856,"P70279;A2ALA0","Surf6"
-1.32857207873942,29.0296658597132,-6.74530826196477,1.91089031554292e-05,0.00126417337437636,3.07501813109446,"E9PYB0","Ahnak2"
-0.866374114662989,32.92195518174,-6.69202517843153,2.06479812510075e-05,0.00132459928207221,3.00773065525731,"Q99P72;Q99P72-3","Rtn4"
1.8211644765323,28.6202968490142,6.61357606311102,2.31582675700051e-05,0.0014419427189912,2.90782292583225,"Q9JKF1","Iqgap1"
2.167460733466,27.6670199240147,6.53648164189413,2.59430614009576e-05,0.00156918459959507,2.80866099645714,"Q99LH1","Gnl2"
0.657219616496381,31.716616038093,6.50957958018406,2.69967286269662e-05,0.00158755762509132,2.77382901437007,"Q62167;P16381","Ddx3x;D1Pas1"
1.06906432221104,28.5738613562683,6.44018656646312,2.99299042923695e-05,0.00169035952931607,2.68343087603178,"E9Q586;E9Q3M3;O08788-2;O08788;D3YX34","Dctn1"
-3.7161777808421,20.2173816549511,-6.43102273137003,3.0341833780827e-05,0.00169035952931607,2.67143376961355,"E9Q2B0;Q8BMQ2-2;Q8BMQ2","Gtf3c4"
1.2479759060539,28.5272186573473,6.32670841067676,3.54786650612511e-05,0.00192585471627355,2.53388741739625,"Q9DBE9","Ftsj3"
-5.57649435280592,22.1931428737731,-6.29660430572901,3.71269730121544e-05,0.00196494504666827,2.4938569335883,"P97825","Hn1"
-0.801918075787878,30.1000352645128,-6.26570298649722,3.89036236948356e-05,0.00200875539907237,2.45260942534382,"Q9Z1Q9;G3UY93","Vars"
-0.892156339575752,30.5637853996931,-6.2421554560801,4.03178769662179e-05,0.0020322129889877,2.42107097483789,"Q80T06;A0A0R4J1E2;E9QN08;P57776;P57776-3;D3YUQ9","Eef1d"
1.44399866136241,29.2360563550642,6.1991504018033,4.30432068426293e-05,0.00211912718339177,2.36323310009475,"A0A0R4J0K2;K3W4R5;Z4YL78;A2AGT5-3;A2AGT5;A2AGT5-2","Ckap5"
-0.897383644662973,30.667154880798,-6.17228292707291,4.48443754528537e-05,0.00212654528394058,2.3269418711318,"A0A2I3BPY7;Q9EP71","Rai14"
4.01780746385299,20.6956458919582,6.16707145377211,4.52028992807398e-05,0.00212654528394058,2.31988848734508,"G3X9A3;E9Q3R9;E9Q444","Zbtb21"
-1.45296651825982,28.4272307057699,-6.10816649381086,4.94730332972125e-05,0.00227683503239563,2.23984815291232,"Q8CIN4","Pak2"
-0.964004229702304,29.9996515483154,-6.09382562244386,5.05759622870141e-05,0.00227807047152359,2.22027363979009,"Q9DCL9","Paics"
-5.04704386507721,22.0298061613688,-5.85869929786921,7.2897259456454e-05,0.00321507288061069,1.89440743230213,"Q99MV1","Tdrd1"
2.51947693416612,25.3286951855085,5.76894704095315,8.39845949421956e-05,0.00358827850216902,1.76756199766573,"E9Q3T3;L0N7N1","Kif14"
1.21525904297124,28.2081855080377,5.76322657619105,8.4749137982263e-05,0.00358827850216902,1.75943132110301,"Q61029;Q61029-3;Q61029-2;Q61029-4","Tmpo"
1.59531918897825,28.2987703191259,5.71437057104322,9.15860386663252e-05,0.00380171850699236,1.68976604826488,"Q8K224","Nat10"
3.18145134484691,25.06071750734,5.69252721612329,9.48289237047762e-05,0.00386063137467329,1.65848883637818,"Q8BHB4","Wdr3"
