"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProtID","GeneID"
2.18413246426424,32.1773778446864,15.8075490884854,1.7527624751463e-09,3.71059815988471e-06,9.74976741778468,"P27546","Map4"
2.51965329020022,30.1922832876921,14.1636963034381,6.25959278447296e-09,6.62577896236463e-06,9.03487682301607,"Q6A065;H7BX26","Cep170"
5.32252615660027,26.786254147261,11.7179651022409,5.43276833539924e-08,3.8337235220134e-05,7.66242881978804,"Q3V1H1","Ckap2"
6.41105422629396,24.0807627142488,9.80567479302159,3.91687350852898e-07,0.000207300530438896,6.24421264942869,"Q8R080","Gtse1"
-1.34576891522832,30.667154880798,-9.25631590084171,7.31615092121418e-07,0.000309765830004209,5.76607017967451,"A0A2I3BPY7;Q9EP71","Rai14"
-5.04321883404487,20.427060001782,-8.86333690856963,1.16444272181085e-06,0.000410854207012262,5.4019076581061,"A0A140LHL5;Q8VDQ8-4;Q8VDQ8-2;Q8VDQ8;Q8VDQ8-3","Sirt2"
6.8655566345848,23.0805003675804,8.59942764227985,1.6050326831013e-06,0.000485407741446493,5.14640341082006,"Q9Z0H8-2;Q9Z0H8","Clip2"
1.94080185425727,27.2233216779956,8.28401961922967,2.3782102048686e-06,0.000629333875463354,4.82899091937843,"A2AJI0;A2AJI0-2;F6WF36","Map7d1"
6.98744966516613,22.6425676516468,8.11697122898542,2.94177141556783e-06,0.000691970009639679,4.65539136833299,"Q80VB6;Q9JLM8-2","Dclk1"
7.01337441031383,22.7058677702325,7.94918983144287,3.65381528265257e-06,0.00077351269533755,4.47709731475769,"D6RII3;Q05BC3-2;Q05BC3;D3Z4J9;Q05BC3-3","Eml1"
1.65704842233124,29.6754923942972,7.6520958471634,5.40638074479815e-06,0.00104048254879434,4.15146783424797,"F7ACR9;F6Q750","Macf1"
-6.2068722939582,23.1155278693352,-7.34482150719475,8.19806372603838e-06,0.00114606337809681,3.800934097563,"A0A5F8MPZ2;Q5UE59;E9Q7C9;Q7TNF4;Q8CD76;O88447","Klc1"
-0.946315674582543,34.1444132978155,-7.33893268370904,8.26466647517805e-06,0.00114606337809681,3.79407659479261,"F7DBB3;Q3URZ6","Ahnak2"
-1.04828760240289,30.5637853996931,-7.33455997184529,8.31449487693225e-06,0.00114606337809681,3.7889811599387,"Q80T06;A0A0R4J1E2;E9QN08;P57776;P57776-3;D3YUQ9","Eef1d"
-4.51110695514366,23.7040911314585,-7.32093815602555,8.47178215562675e-06,0.00114606337809681,3.77308914232051,"Q8CDA1;Q8CDA1-2","Inpp5f"
1.24042293212484,30.5308417457388,7.27075020935041,9.07920887165303e-06,0.00114606337809681,3.71429091195366,"Q7TPR4","Actn1"
-0.677506285307999,37.6530270541704,-7.26094936232765,9.20315419350293e-06,0.00114606337809681,3.70276334738637,"E9Q616","Ahnak"
-1.08821125283334,29.4682251080997,-6.7792722309814,1.81918318530344e-05,0.00213956155738188,3.11766904588,"A0A0R4J0M9;Q8CDG3;Q8CDG3-2","Vcpip1"
1.63812359396163,28.2406472158689,6.65565693951334,2.17737602644675e-05,0.00235741887120723,2.9615390615974,"Q9ET54-4;Q9ET54-6;Q9ET54;Q9ET54-3;Q9ET54-5;Q9ET54-2;D3Z1J5","Palld"
-1.76098850686067,27.4029472696456,-6.6402151656936,2.22713166859445e-05,0.00235741887120723,2.94186122108351,"A0A0R4J1F8;A0A2K6EDP7;P59328-3;P59328","Wdhd1"
4.88413200318789,24.4457490487326,6.48502980689866,2.79979437293582e-05,0.00282245937500244,2.74193880863256,"A0A087WQF1;E9QKH0;E9Q6L0;A0A087WQ95;A0A087WRE8;E9QNY9;A0A087WP42;A0A087WRK0;A0A087WNW8;Q80TV8;A0A087WS18;J3QP81;A0A087WQ31;Q80TV8-2;A0A0A6YXZ1","Clasp1"
0.846336358107717,31.0024748201903,6.37179096295428,3.31537340580804e-05,0.00319029340913437,2.59355357557245,"Q91W50;Q8JZN2;A0A0G2JF72","Csde1"
4.03856677048107,20.067849872556,6.32091005925591,3.5790008295616e-05,0.00319740925293263,2.52618886854449,"D3YU17;Q8VCM8","Ncln"
-0.87071372541768,30.7107694932013,-6.31247007818687,3.62483807606911e-05,0.00319740925293263,2.51497299983883,"P60122","Ruvbl1"
-1.74441590002568,29.1100677836619,-6.22987257416778,4.10771070928498e-05,0.00347840942862252,2.40458313818236,"A3KGU5;A3KGU7;E9Q447;A3KGU9;P16546-2;P16546","Sptan1"
-5.33730129105146,22.9422235961185,-6.16164621452962,4.55793558909792e-05,0.00364687051628252,2.31254095462169,"B7ZWL1;A0A1D5RMJ8;Q6ZQ08-2;Q6ZQ08;Q6ZQ08-4;A0A1D5RMD8","Cnot1"
5.35898571526237,22.6802070577435,6.14841006001294,4.65118110248597e-05,0.00364687051628252,2.29459422640299,"Q08775;Q08775-6;E0CZ12;F8WHN7;Q08775-2;Q08775-3;Q08775-5;E9PUK7;E0CY45;Q08775-9;Q08775-8;E0CZC6;Q08775-7;Q08775-4;F6TRA6","Runx2"
2.50002718342095,26.883121790922,6.11800783224774,4.87309050566278e-05,0.00368440450017432,2.25326108277011,"Q922J3;Q922J3-2;D3Z2Z1;F8WIA1;D3Z3M7;F6RCU2;Q8C0S5","Clip1"
6.99666938907693,23.9439020055764,6.03011894701817,5.57996730690224e-05,0.00407337613403864,2.13290000199314,"A0JP43-3;A0JP43;A0A0A0MQI1;A0JP43-2","Efcab5"
