"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProtID","GeneID"
2.32922350077904,32.1734193630733,16.877383317245,1.00385303592919e-09,1.78585455091802e-06,10.6023334499678,"P27546","Map4"
2.2012630037034,30.1917888203667,12.4814582782413,3.12043431785321e-08,2.77562632573043e-05,8.40832089327844,"Q6A065;H7BX26","Cep170"
8.85695616293786,23.1105036701794,11.8802677337807,5.41441347487331e-08,3.21074719059987e-05,8.01110283549655,"Q9Z0H8-2;Q9Z0H8","Clip2"
2.38084836614621,29.6758979448802,11.0978449696426,1.15085593669562e-07,4.22136159242778e-05,7.44895963531419,"F7ACR9;F6Q750","Macf1"
8.16146386484287,23.8506289260658,10.9824553301769,1.29106466482434e-07,4.22136159242778e-05,7.36142308994165,"Q8R080","Gtse1"
4.93485329948372,26.782824177357,10.8850658883415,1.42373072257261e-07,4.22136159242778e-05,7.28657164505867,"Q3V1H1","Ckap2"
1.78120052365205,30.5296770772036,10.527720086621,2.05135928864198e-07,5.21338310642012e-05,7.00411176360032,"Q7TPR4","Actn1"
6.40647247142893,24.5191725088151,9.90678793479395,3.96666976485709e-07,7.51483831835422e-05,6.48260822626914,"A0A087WQF1;E9QKH0;E9Q6L0;A0A087WQ95;A0A087WRE8;E9QNY9;A0A087WP42;A0A087WRK0;A0A087WNW8;Q80TV8;A0A087WS18;J3QP81;A0A087WQ31;Q80TV8-2;A0A0A6YXZ1","Clasp1"
-11.2926589469902,29.282279647293,-9.87001211157557,4.12892279476718e-07,7.51483831835422e-05,6.45044093168131,"Q7TRJ6","Olfr118"
4.0174393736716,26.8803703896787,9.84913484892957,4.22419242178427e-07,7.51483831835422e-05,6.43211418203199,"Q922J3;Q922J3-2;D3Z2Z1;F8WIA1;D3Z3M7;F6RCU2;Q8C0S5","Clip1"
1.15603716484323,31.0004824808714,8.79031893073936,1.41653825691657e-06,0.000229092869004961,5.436994147173,"Q91W50;Q8JZN2;A0A0G2JF72","Csde1"
-5.89861112150443,24.166236456328,-8.26878532765197,2.67876642965035e-06,0.000397127123195664,4.89601880037108,"Q3U1T3;Q3U1T3-2","Brms1l"
7.41105574259321,22.7674909588187,7.93927972066763,4.06796453368739e-06,0.000556685300417682,4.53548974833472,"D6RII3;Q05BC3-2;Q05BC3;D3Z4J9;Q05BC3-3","Eml1"
1.78012779046727,29.2371814537587,7.70831151490469,5.49239604340196e-06,0.000697926611515149,4.27374176077944,"A0A0R4J0K2;K3W4R5;Z4YL78;A2AGT5-3;A2AGT5;A2AGT5-2","Ckap5"
4.79008399883607,20.5216373594519,7.48881922220645,7.34844387730213e-06,0.000839988021740803,4.01789162232903,"G3X9A3;E9Q3R9;E9Q444","Zbtb21"
1.19716062865423,28.575774910689,7.46817339511259,7.55469834055809e-06,0.000839988021740803,3.99346335738632,"E9Q586;E9Q3M3;O08788-2;O08788;D3YX34","Dctn1"
-1.04121075246454,30.5625621308741,-7.3844839458125,8.45626716170812e-06,0.00088492348709875,3.89379565788268,"Q80T06;A0A0R4J1E2;E9QN08;P57776;P57776-3;D3YUQ9","Eef1d"
-4.58883382417877,20.4745939325209,-7.31046034081002,9.34965785780509e-06,0.00092405785161307,3.80477043942679,"Q3UQN2;A0A286YCL2;F6RG68;A0A286YDL7;J3QPQ1;Q3UQN2-2;Q3UQN2-3","Fcho2"
5.37569277254697,21.5532152748903,7.21410986022531,1.06661858543698e-05,0.000998691822890726,3.68766152303801,"Q6R891;Q6R891-2","Ppp1r9b"
1.44428357604794,27.6255731273093,7.11319109258214,1.22595710436687e-05,0.00109048884433433,3.56349268450665,"Z4YKV1;P63094-2;P63094;Q6R0H7-4;Q6R0H7;A0A571BEI3;P63094-3;A0A571BEM2","Gnas"
6.71800445825,23.8155704024052,6.95414739136277,1.53074825518151e-05,0.00129676245046091,3.36464233666442,"A0A0R4J1L9;Q5HZI1;A0A0R4J147;Q5HZI1-4;A0A0R4J0N9;Q5HZI1-2;Q5HZI1-3","Mtus1"
-4.1673226977161,20.9495997483814,-6.76871251790988,1.99121053998764e-05,0.00161016525029,3.12784056733104,"A0A140LHL5;Q8VDQ8-4;Q8VDQ8-2;Q8VDQ8;Q8VDQ8-3","Sirt2"
-1.04238489420818,29.9995213304946,-6.69337949689557,2.21856900240772e-05,0.00171601489360145,3.03009842511994,"Q9DCL9","Paics"
5.58907685121796,22.7943893876928,6.63317296684026,2.42010278693215e-05,0.00179390119081346,2.95133695102367,"Q80VB6;Q9JLM8-2","Dclk1"
2.85546873000737,26.6411937672303,6.56011371260917,2.69113996228476e-05,0.00191501519716184,2.85498780915712,"H3BJX8;Q60875;Q60875-4;Q60875-5;H3BKH9;H3BJ40;H3BJ45;H3BJU7","Arhgef2"
-1.13460530082788,29.8091682823767,-6.4800648736836,3.02555299073905e-05,0.00207017645020183,2.74844218550801,"Q8BML9;D3Z158","Qars"
1.75306370041695,28.6221606139707,6.42011114798645,3.30482387191143e-05,0.0021775117289372,2.66797007079769,"Q9JKF1","Iqgap1"
6.79547338157929,24.0182103322084,6.3576212254498,3.62525349927778e-05,0.00230333070543399,2.58347770190814,"A0JP43-3;A0JP43;A0A0A0MQI1;A0JP43-2","Efcab5"
-0.827017781064249,32.9166784185699,-6.32828062877714,3.78693623729721e-05,0.00232308950556956,2.54358887800073,"Q99P72;Q99P72-3","Rtn4"
-4.59997538615515,22.3809949427722,-6.26037808085961,4.19119734879995e-05,0.00248538002783837,2.45074024272745,"P97825","Hn1"
2.71221542537579,25.309606133613,6.12619533574081,5.13088502947059e-05,0.00291145904860294,2.26505921101542,"E9Q3T3;L0N7N1","Kif14"
-1.37580393922329,29.3921501883047,-6.11270453904452,5.23702583222564e-05,0.00291145904860294,2.2462285233186,"A0A087WPX0;A0A087WP85;A0A087WS29;A0A087WP14;A0A087WS23;A0A087WQD0;A0A087WS04;Q61595-11;Q61595-10;Q61595-3;A0A087WQF8;A0A087WP48;A0A087WQG4;A0A087WPW5;Q61595-7;Q61595-4;Q61595-16;Q61595-13;Q61595-14;Q61595-8;Q61595-12;Q61595-2","Ktn1"
-0.756895244481996,30.099713326938,-6.07901578567471,5.51236884825631e-05,0.00294493829369434,2.19907549851969,"Q9Z1Q9;G3UY93","Vars"
